INFO 2026-06-18 10:45:19,474 basehttp 5584 10776 "OPTIONS /api/v1/tasks/?search= HTTP/1.1" 200 0
INFO 2026-06-18 10:45:19,582 basehttp 5584 10776 "GET /api/v1/tasks/?search= HTTP/1.1" 200 8066
INFO 2026-06-18 10:45:23,037 basehttp 5584 10776 "GET /api/v1/notifications/unread-count/ HTTP/1.1" 200 11
INFO 2026-06-18 10:45:25,823 basehttp 5584 10776 "OPTIONS /api/v1/calendar/events/?month=6&year=2026 HTTP/1.1" 200 0
INFO 2026-06-18 10:45:26,101 basehttp 5584 10776 "GET /api/v1/calendar/events/?month=6&year=2026 HTTP/1.1" 200 52
INFO 2026-06-18 10:45:29,357 basehttp 5584 1752 "OPTIONS /api/v1/inventory/stats/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:29,358 basehttp 5584 10776 "OPTIONS /api/v1/inventory/items/?search= HTTP/1.1" 200 0
INFO 2026-06-18 10:45:29,436 basehttp 5584 10776 "GET /api/v1/inventory/stats/ HTTP/1.1" 200 99
INFO 2026-06-18 10:45:29,437 basehttp 5584 1752 "GET /api/v1/inventory/items/?search= HTTP/1.1" 200 2954
INFO 2026-06-18 10:45:32,785 basehttp 5584 1752 "OPTIONS /api/v1/inventory/movements/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:32,832 basehttp 5584 1752 "GET /api/v1/inventory/movements/ HTTP/1.1" 200 52
INFO 2026-06-18 10:45:37,507 basehttp 5584 10776 "OPTIONS /api/v1/analytics/revenue/?period=month HTTP/1.1" 200 0
INFO 2026-06-18 10:45:37,515 basehttp 5584 10776 "OPTIONS /api/v1/ai/revenue-analysis/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:37,516 basehttp 5584 5900 "OPTIONS /api/v1/analytics/customers/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:37,520 basehttp 5584 3988 "OPTIONS /api/v1/analytics/employees/ HTTP/1.1" 200 0
INFO 2026-06-18 10:45:37,581 basehttp 5584 10776 "GET /api/v1/analytics/revenue/?period=month HTTP/1.1" 200 78
INFO 2026-06-18 10:45:37,601 basehttp 5584 5900 "GET /api/v1/ai/revenue-analysis/ HTTP/1.1" 200 553
